,project_name,q1,median,q3,outliers,max,min,upperfence,lowerfence
0,lem-in,17.0,27.0,37.0,3,90,0,67.0,0.0
1,make-your-game,13.0,28.0,45.0,1,108,0,93.0,0.0
2,score-handling,1.0,7.0,9.0,0,14,0,21.0,0.0
3,typing-in-progress,1.0,3.0,6.0,8,33,0,14.0,0.0
4,social-network,30.0,48.0,57.0,0,88,1,98.0,0.0
5,cross-platform-appimage,1.0,1.0,1.0,5,13,0,1.0,1.0
6,smart-road,10.0,20.0,25.0,4,57,0,48.0,0.0
7,multiplayer-fps,7.0,15.0,26.0,4,67,0,55.0,0.0
8,0-shell,1.0,3.0,7.0,6,28,0,16.0,0.0
9,add-vm,2.0,5.0,10.0,6,74,0,22.0,0.0
10,ascii-art,4.0,7.0,13.0,4,36,0,27.0,0.0
11,fs,1.0,3.0,7.0,10,28,0,16.0,0.0
12,output,1.0,3.0,7.0,11,39,0,16.0,0.0
13,math-skills,1.0,6.0,12.0,2,42,0,29.0,0.0
14,justify,1.0,5.0,12.0,4,48,0,29.0,0.0
15,color,2.0,7.0,15.0,0,35,0,35.0,0.0
16,ascii-art-web,5.0,14.0,22.0,0,46,0,48.0,0.0
17,dockerize,1.0,5.0,13.0,1,32,0,31.0,0.0
18,connect,1.0,5.0,22.0,2,223,0,54.0,0.0
19,scan,2.0,4.0,14.0,1,36,0,32.0,0.0
20,linear-stats,1.0,2.0,9.0,1,92,0,21.0,0.0
21,reverse,3.0,6.0,10.0,4,29,0,21.0,0.0
22,moderation,0.0,3.0,5.0,0,5,0,13.0,0.0
23,scripting,0.0,5.0,7.0,0,7,0,18.0,0.0
24,groupie-tracker,6.0,16.0,22.0,6,60,0,46.0,0.0
25,guess-it-1,1.0,3.0,14.0,2,38,0,34.0,0.0
26,search-bar,3.0,6.0,15.0,0,33,0,33.0,0.0
27,filters,3.0,7.0,13.0,2,35,0,28.0,0.0
28,geolocalization,0.0,4.0,10.0,5,49,0,25.0,0.0
29,forum,10.0,24.0,33.0,0,57,0,68.0,0.0
30,image-upload,1.0,4.0,7.0,5,27,0,16.0,0.0
31,history,3.0,7.0,12.0,2,45,0,26.0,0.0
32,different-maps,0.0,3.0,5.0,0,12,0,13.0,0.0
33,real-time-forum,44.0,55.0,66.0,5,94,0,99.0,11.0
34,graphql,3.0,6.0,15.0,8,84,0,33.0,0.0
35,mini-framework,1.0,5.0,9.0,10,55,0,21.0,0.0
36,bomberman-dom,0.0,4.0,9.0,0,19,0,23.0,0.0
37,visualizations,1.0,4.0,14.0,20,213,0,34.0,0.0
38,filler,4.0,10.0,19.0,4,70,0,42.0,0.0
39,rt,8.0,17.0,27.0,8,85,0,56.0,0.0
40,localhost,14.0,21.0,28.0,6,85,2,49.0,0.0
41,linux,3.0,14.0,38.0,5,288,0,91.0,0.0
42,login,1.0,7.0,15.0,6,137,0,36.0,0.0
43,go-reloaded,8.0,13.0,19.0,2,55,0,36.0,0.0
44,stylize,1.0,5.0,10.0,2,31,0,24.0,0.0
45,exportfile,1.0,4.0,12.0,3,38,0,29.0,0.0
46,remote,0.0,1.0,5.0,2,30,0,13.0,0.0
47,advanced-features,0.0,0.0,0.0,0,0,0,0.0,0.0
48,job-control,8.0,22.0,37.0,0,40,4,81.0,0.0
49,guess-it-2,2.0,2.0,9.0,0,15,1,20.0,0.0
50,security,0.0,5.0,5.0,3,30,0,13.0,0.0
51,authentication,3.0,14.0,16.0,0,31,1,36.0,0.0
